,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Signal,Return_A,Return_B,Strategy_Return,Cumulative_Return,Transaction_Cost,Net_Return,Gross_Cumulative,Net_Cumulative
2022-04-27,268.6692199707031,272.4177551269531,-47.767586668402316,2.354009567064446,-1,1,SHORT_SHW_LONG_HD,0.029516880621338615,0.00546719340413504,0.0,1.0,0.004,-0.004,0.0,-0.0040000000000000036
2022-04-28,270.52520751953125,281.59466552734375,-56.57137502353288,1.8026950399118076,0,0,HOLD,0.0069080765896090135,0.03368690266210428,0.026778826072495265,1.0267788260724953,0.004,0.022778826072495265,0.026778826072495265,0.0186877107682053
2022-04-29,264.4186706542969,271.33392333984375,-50.75917153336519,2.166669284820742,-1,1,SHORT_SHW_LONG_HD,-0.0225728941166915,-0.036437984960704606,-0.0,1.0267788260724953,0.004,-0.004,0.026778826072495265,0.014612959925132563
2022-05-02,258.4755554199219,277.26812744140625,-63.59537857435913,1.3628349433108369,0,0,HOLD,-0.022476155786083196,0.02187048353010379,0.044346639316186987,1.0723130163298302,0.004,0.04034663931618698,0.07231301632983023,0.055549183064760976
2022-05-03,259.04296875,275.4526672363281,-60.919151046000934,1.5304267861440228,0,0,HOLD,0.0021952301414200903,-0.0065476700182994785,0.0,1.0723130163298302,0.0,0.0,0.07231301632983023,0.055549183064760976
2022-05-04,271.6984558105469,284.80120849609375,-59.122803991198396,1.6429183848934807,0,0,HOLD,0.04885477927316595,0.03393883004859388,0.0,1.0723130163298302,0.0,0.0,0.07231301632983023,0.055549183064760976
2022-05-05,266.33233642578125,270.168701171875,-47.491999336848835,2.3712675125369906,-1,1,SHORT_SHW_LONG_HD,-0.019750275608880763,-0.0513779678165216,-0.0,1.0723130163298302,0.004,-0.004,0.07231301632983023,0.05132698633250188
2022-05-06,262.8992919921875,265.8331604003906,-45.88893782300602,2.47165510306622,-1,1,SHORT_SHW_LONG_HD,-0.012890077411048528,-0.01604753160776462,-0.003157454196716092,1.0689272370962264,0.0,-0.003157454196716092,0.06892723709622639,0.04800746952738555
2022-05-09,266.35162353515625,268.2900085449219,-45.290448096956936,2.5091339777293276,-1,1,SHORT_SHW_LONG_HD,0.013131764322405814,0.00924206799795324,-0.003889696324452574,1.064769434750986,0.0,-0.003889696324452574,0.06476943475098595,0.04393103872516613
2022-05-10,256.15802001953125,262.9879455566406,-49.325246435477254,2.256465143765225,-1,1,SHORT_SHW_LONG_HD,-0.03827122726090504,-0.019762431769401845,0.018508795491503194,1.0844770344643953,0.0,0.018508795491503194,0.08447703446439525,0.06325294482816268
2022-05-11,254.52317810058594,255.58135986328125,-42.356697860240956,2.6928525156240317,-1,1,SHORT_SHW_LONG_HD,-0.0063821617563278865,-0.02816321363202634,-0.021781051875698454,1.0608559839187226,0.0,-0.021781051875698454,0.0608559839187226,0.0400941772798713
2022-05-12,264.0147705078125,261.66021728515625,-39.92622461426777,2.845054630703271,-1,1,SHORT_SHW_LONG_HD,0.03729166230776659,0.023784431795522032,-0.013507230512244561,1.0465267576036383,0.0,-0.013507230512244561,0.046526757603638336,0.0260453854729088
2022-05-13,262.8511657714844,267.3867492675781,-47.741692012006524,2.3556311530988614,-1,1,SHORT_SHW_LONG_HD,-0.004407347112019622,0.02188537501740706,0.026292722129426682,1.0740427948423206,0.0,0.026292722129426682,0.07404279484232057,0.05302291168532847
2022-05-16,260.96630859375,267.3505859375,-49.58454235108229,2.2402274061756917,-1,1,SHORT_SHW_LONG_HD,-0.007170815363143679,-0.0001352472782484293,0.0070355680848952495,1.0815992960515248,0.0,0.0070355680848952495,0.08159929605152483,0.06043152607544533
2022-05-17,258.9372253417969,271.83074951171875,-56.81772345629736,1.7872681050235792,0,0,HOLD,-0.007775269010345087,0.01675763514229245,0.024532904152637536,1.108134067913117,0.004,0.020532904152637536,0.10813406791311708,0.08220526496078762
2022-05-18,249.70518493652344,257.5865173339844,-49.50385501929395,2.245280242111505,-1,1,SHORT_SHW_LONG_HD,-0.035653585123139986,-0.052401106951001086,-0.0,1.108134067913117,0.004,-0.004,0.10813406791311708,0.0778764439009445
2022-05-19,250.00405883789062,259.9169616699219,-51.91199396799078,2.094476754764499,-1,1,SHORT_SHW_LONG_HD,0.0011969070704045404,0.009047229490338093,0.007850322419933553,1.1168332776307477,0.0,0.007850322419933553,0.11683327763074769,0.08633812151441833
2022-05-20,248.63534545898438,259.40203857421875,-52.68257959273109,2.046220818547366,-1,1,SHORT_SHW_LONG_HD,-0.005474764630896467,-0.0019811061671189956,0.0034936584637774715,1.1207351116637707,0.0,0.0034936584637774715,0.12073511166377071,0.09013341588717139
2022-05-23,249.90762329101562,258.35430908203125,-50.19327325029707,2.202107204470909,-1,1,SHORT_SHW_LONG_HD,0.005117043313703551,-0.004039017958171298,-0.009156061271874849,1.1104735923118356,0.0,-0.009156061271874849,0.11047359231183562,0.08015208753679026
2022-05-24,248.3461456298828,260.0613708496094,-53.737650940161075,1.9801496980754978,0,0,HOLD,-0.006248219404313526,0.006607444534769247,0.012855663939082773,1.1247494676278227,0.004,0.008855663939082773,0.12474946762782269,0.0897175514271149
2022-05-25,255.54641723632812,265.1647644042969,-52.46541276426558,2.059820330770865,-1,1,SHORT_SHW_LONG_HD,0.028992886473768964,0.019623804711998982,0.0,1.1247494676278227,0.004,-0.004,0.12474946762782269,0.08535868122140644
2022-05-26,262.1490173339844,273.51068115234375,-55.55731750164489,1.8661977753972023,0,0,HOLD,0.02583718515431266,0.031474456143508744,0.005637270989196086,1.1310899851717948,0.004,0.0016372709891960859,0.13108998517179482,0.08713570750304234
2022-05-27,266.3708801269531,278.6139831542969,-57.26338179279895,1.759359901742338,0,0,HOLD,0.016104820212200055,0.018658510813735374,0.0,1.1310899851717948,0.0,0.0,0.13108998517179482,0.08713570750304234
2022-05-31,258.3609924316406,273.4564514160156,-59.2823498704052,1.6329272359237545,0,0,HOLD,-0.030070432967353455,-0.018511388695896858,-0.0,1.1310899851717948,0.0,-0.0,0.13108998517179482,0.08713570750304234
2022-06-01,255.681396484375,270.1297912597656,-58.09774204678695,1.70711024394198,0,0,HOLD,-0.010371519020908715,-0.012165228280495266,-0.0,1.1310899851717948,0.0,-0.0,0.13108998517179482,0.08713570750304234
2022-06-02,259.7586364746094,278.0193786621094,-63.18494085069182,1.3885375466017693,0,0,HOLD,0.0159465649292303,0.02920665419963564,0.0,1.1310899851717948,0.0,0.0,0.13108998517179482,0.08713570750304234
2022-06-03,259.170654296875,277.3013000488281,-62.93881255278313,1.4039506961127217,0,0,HOLD,-0.0022635712356453563,-0.0025828365516705754,-0.0,1.1310899851717948,0.0,-0.0,0.13108998517179482,0.08713570750304234
2022-06-06,265.09857177734375,276.2196960449219,-55.754518383927575,1.8538485790303445,0,0,HOLD,0.022872641567198482,-0.003900464958930261,0.0,1.1310899851717948,0.0,0.0,0.13108998517179482,0.08713570750304234
2022-06-07,267.2190856933594,274.2927551269531,-51.39569577037463,2.126808597058576,-1,1,SHORT_SHW_LONG_HD,0.00799896393933297,-0.006976117002371107,0.0,1.1310899851717948,0.004,-0.004,0.13108998517179482,0.08278716467303027
2022-06-08,258.39959716796875,270.43878173828125,-55.738460554263554,1.8548541591750738,0,0,HOLD,-0.03300471035781927,-0.01405058397145087,0.018954126386368397,1.1525288077050966,0.004,0.014954126386368397,0.15252880770509658,0.09897930078308814
2022-06-09,252.52944946289062,272.556640625,-64.0686847059493,1.3331953682086017,0,0,HOLD,-0.022717325295450563,0.007831195189927698,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-06-10,238.4855499267578,262.9036560058594,-66.89980691780761,1.155903645534193,0,0,HOLD,-0.05561291788345091,-0.03541643526646554,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-06-13,229.27076721191406,257.3772277832031,-69.69516481181836,0.9808515709734934,0,0,HOLD,-0.03863874653065458,-0.021020735529570178,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-06-14,221.19338989257812,253.29615783691406,-73.03202607751928,0.7718892451354623,0,0,HOLD,-0.03523073358877038,-0.015856375412228285,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
